full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away
Aaron Cresswell,31,Premier League,2018/2019,Defender,West Ham United,1589,888,701,England,20,11,9,0,0,0,1,1,0
Aaron Lennon,33,Premier League,2018/2019,Midfielder,Burnley,1217,487,730,England,16,7,9,1,1,0,1,1,0
Aaron Mooy,30,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1
Aaron Ramsey,30,Premier League,2018/2019,Midfielder,Arsenal,1327,689,638,Wales,28,14,14,4,2,2,6,5,1
Aaron Rowe,20,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,1,1,0,0,0,0,0,0
Aaron Wan-Bissaka,23,Premier League,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,England,35,18,17,0,0,0,3,1,2
Abdelhamid Sabiri,24,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,2,0,0,0,0,0,0
Abdoulaye Doucouré,28,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,18,17,5,3,2,6,2,4
Aboubakar Kamara,26,Premier League,2018/2019,Forward,Fulham,687,468,219,France,13,8,5,3,1,2,0,0,0
Adalberto Peñaranda Maestre,23,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0
Adam David Lallana,32,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,6,7,0,0,0,0,0,0
Adam Masina,27,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,7,7,0,0,0,1,1,0
Adam Smith,29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1
Adama Diakhaby,24,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,8,4,0,0,0,0,0,0
Adama Traoré Diarra,25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,12,17,1,0,1,1,1,0
Ademola Lookman,23,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,11,10,0,0,0,2,2,0
Adrian Mariappa,34,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,12,14,0,0,0,0,0,0
Adrián San Miguel del Castillo,34,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,32,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,1,1,0,0,0,0,0,0
Ainsley Maitland-Niles,23,Premier League,2018/2019,Midfielder,Arsenal,985,462,523,England,16,7,9,1,0,1,1,0,1
Alberto Moreno,28,Premier League,2018/2019,Defender,Liverpool,155,90,65,Spain,2,1,1,0,0,0,0,0,0
Aleksandar Mitrović,26,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1
Alex Iwobi,24,Premier League,2018/2019,Forward,Arsenal,1972,742,1230,Nigeria,35,18,17,3,1,2,6,3,3
Alex McCarthy,31,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0
Alex Oxlade-Chamberlain,27,Premier League,2018/2019,Midfielder,Liverpool,19,19,0,England,2,2,0,0,0,0,0,0,0
Alex Pritchard,27,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,14,16,2,1,1,0,0,0
Alex Smithies,31,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0
Alexander Sørloth,25,Premier League,2018/2019,Forward,Crystal Palace,173,121,52,Norway,12,8,4,0,0,0,0,0,0
Alexandre Lacazette,29,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4
Alexandre Nascimento Costa Silva,24,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,1,0,0,0,0,0,0
Alexis Sanchez,32,Premier League,2018/2019,Forward,Manchester United,877,387,490,Chile,20,10,10,1,1,0,3,0,3
Alfie Jones,23,Premier League,2018/2019,Defender,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0
Alfie Mawson,27,Premier League,2018/2019,Defender,Fulham,1131,547,584,England,15,8,7,0,0,0,0,0,0
Alfie Whiteman,22,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0
Ali Koiki,20,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,494,528,Iran,19,9,10,0,0,0,0,0,0
Alisson Becker,28,Premier League,2018/2019,Goalkeeper,Liverpool,3420,1710,1710,Brazil,38,19,19,0,0,0,0,0,0
Alvaro Morata,28,Premier League,2018/2019,Forward,Chelsea,943,530,413,Spain,16,8,8,5,3,2,0,0,0
Ander Herrera,31,Premier League,2018/2019,Midfielder,Manchester United,1404,617,787,Spain,22,10,12,2,0,2,3,3,0
André Filipe Tavares Gomes,27,Premier League,2018/2019,Midfielder,Everton,1986,972,1014,Portugal,27,13,14,1,1,0,1,1,0
Andre Gray,29,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0
André Schürrle,30,Premier League,2018/2019,Midfielder,Fulham,1650,829,821,Germany,24,12,12,6,3,3,0,0,0
André-Frank Zambo Anguissa,25,Premier League,2018/2019,Midfielder,Fulham,1518,587,931,Cameroon,22,10,12,0,0,0,0,0,0
Andreas Christensen,24,Premier League,2018/2019,Defender,Chelsea,615,360,255,Denmark,8,4,4,0,0,0,0,0,0
Andreas Pereira,25,Premier League,2018/2019,Midfielder,Manchester United,595,521,74,Brazil,15,10,5,1,1,0,1,1,0
Andrew Robertson,27,Premier League,2018/2019,Defender,Liverpool,3219,1599,1620,Scotland,36,18,18,0,0,0,11,9,2
Andrew Surman,34,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,526,912,England,18,7,11,0,0,0,0,0,0
Andriy Yarmolenko,31,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0
Andros Townsend,29,Premier League,2018/2019,Midfielder,Crystal Palace,3018,1571,1447,England,38,19,19,6,2,4,4,2,2
Andy Carroll,32,Premier League,2018/2019,Forward,West Ham United,454,180,274,England,12,6,6,0,0,0,0,0,0
Angel Gomes,20,Premier League,2018/2019,Midfielder,Manchester United,25,25,0,England,2,2,0,0,0,0,0,0,0
Angelo Ogbonna,32,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,12,12,1,1,0,1,1,0
Angus Gunn,25,Premier League,2018/2019,Goalkeeper,Southampton,1080,540,540,England,12,6,6,0,0,0,0,0,0
Anthony Driscoll-Glennon,21,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0
Anthony Knockaert,29,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,982,850,France,30,16,14,2,1,1,6,5,1
Anthony Martial,25,Premier League,2018/2019,Forward,Manchester United,1623,743,880,France,27,11,16,10,4,6,2,1,1
Antonio Barreca,26,Premier League,2018/2019,Defender,Newcastle United,4,0,4,Italy,1,0,1,0,0,0,0,0,0
Antonio Rüdiger,28,Premier League,2018/2019,Defender,Chelsea,2874,1350,1524,Germany,33,15,18,1,1,0,0,0,0
Antonio Valencia,35,Premier League,2018/2019,Defender,Manchester United,466,196,270,Ecuador,6,3,3,0,0,0,0,0,0
Arijanet Muric,22,Premier League,2018/2019,Goalkeeper,Manchester City,0,0,0,Montenegro,0,0,0,0,0,0,0,0,0
Aron Einar Gunnarsson,31,Premier League,2018/2019,Midfielder,Cardiff City,2274,1240,1034,Iceland,28,14,14,1,1,0,1,1,0
Arthur Masuaku,27,Premier League,2018/2019,Defender,West Ham United,1756,822,934,France,23,11,12,0,0,0,1,1,0
Artur Boruc,41,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,1080,540,540,Poland,12,6,6,0,0,0,0,0,0
Ashley Barnes,31,Premier League,2018/2019,Forward,Burnley,2400,1307,1093,England,37,19,18,12,6,6,2,1,1
Ashley Westwood,31,Premier League,2018/2019,Midfielder,Burnley,2822,1530,1292,England,34,18,16,2,0,2,7,2,5
Ashley Young,35,Premier League,2018/2019,Midfielder,Manchester United,2568,1207,1361,England,30,14,16,2,1,1,2,2,0
Asmir Begović,33,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,2160,1080,1080,Bosnia and Herzegovina,24,12,12,0,0,0,0,0,0
Aymeric Laporte,26,Premier League,2018/2019,Defender,Manchester City,3057,1526,1531,France,35,17,18,3,0,3,3,3,0
Ayoze Perez,27,Premier League,2018/2019,Forward,Newcastle United,2929,1526,1403,Spain,37,19,18,12,9,3,2,1,1
Bakary Sako,32,Premier League,2018/2019,Midfielder,Crystal Palace,25,8,17,Mali,4,3,1,0,0,0,0,0,0
Bakayo Sako,0,Premier League,2018/2019,Midfielder,Arsenal,7,7,0,England,1,1,0,0,0,0,0,0,0
Ben Chilwell,24,Premier League,2018/2019,Defender,Leicester City,3240,1620,1620,England,36,18,18,0,0,0,4,1,3
Ben Davies,27,Premier League,2018/2019,Defender,Tottenham Hotspur,1839,916,923,Wales,27,13,14,0,0,0,0,0,0
Ben Foster,37,Premier League,2018/2019,Goalkeeper,Watford,3420,1710,1710,England,38,19,19,0,0,0,0,0,0
Ben Gibson,28,Premier League,2018/2019,Defender,Burnley,63,63,0,England,1,1,0,1,1,0,0,0,0
Ben Hamer,33,Premier League,2018/2019,Goalkeeper,Huddersfield Town,553,283,270,England,7,4,3,0,0,0,0,0,0
Ben Mee,31,Premier League,2018/2019,Defender,Burnley,3420,1710,1710,England,38,19,19,0,0,0,2,1,1
Ben White,23,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0
Ben Wilmot,21,Premier League,2018/2019,Defender,Watford,26,0,26,England,2,0,2,0,0,0,0,0,0
Benjamin Johnson,21,Premier League,2018/2019,Forward,West Ham United,63,0,63,England,1,0,1,0,0,0,0,0,0
Benjamin Mendy,26,Premier League,2018/2019,Defender,Manchester City,900,450,450,France,10,5,5,0,0,0,5,3,2
Beram Kayal,32,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,934,494,440,Israel,18,9,9,1,0,1,1,1,0
Bernard Anício Caldeira Duarte,28,Premier League,2018/2019,Midfielder,Everton,2128,960,1168,Brazil,34,16,18,1,0,1,3,1,2
Bernardo,25,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,990,760,Brazil,22,11,11,0,0,0,1,1,0
Bernardo Silva,26,Premier League,2018/2019,Midfielder,Manchester City,2853,1470,1383,Portugal,36,18,18,7,2,5,7,4,3
Bernd Leno,29,Premier League,2018/2019,Goalkeeper,Arsenal,2835,1395,1440,Germany,32,16,16,0,0,0,0,0,0
Bobby Reid,28,Premier League,2018/2019,Midfielder,Cardiff City,1422,725,697,England,27,11,16,5,4,1,2,1,1
Brian Murphy,37,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0
Bright Enobakhare,23,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0
Bruno Écuélé Manga,32,Premier League,2018/2019,Defender,Cardiff City,3375,1710,1665,Gabon,38,19,19,0,0,0,1,1,0
Bruno Saltor Grau,40,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,534,602,Spain,14,6,8,0,0,0,1,1,0
Caglar Söyüncü,24,Premier League,2018/2019,Defender,Leicester City,371,191,180,Turkey,6,4,2,0,0,0,0,0,0
Callum Hudson-Odoi,20,Premier League,2018/2019,Midfielder,Chelsea,391,267,124,England,10,6,4,0,0,0,1,1,0
Callum Paterson,26,Premier League,2018/2019,Defender,Cardiff City,1996,1024,972,Scotland,27,14,13,4,3,1,1,0,1
Callum Roberts,23,Premier League,2018/2019,Forward,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0
Callum Slattery,22,Premier League,2018/2019,Midfielder,Southampton,110,6,104,England,3,1,2,0,0,0,0,0,0
Callum Wilson,29,Premier League,2018/2019,Forward,AFC Bournemouth,2535,1324,1211,England,30,15,15,14,5,9,9,4,5
Calum Chambers,26,Premier League,2018/2019,Defender,Fulham,2587,1458,1129,England,31,17,14,2,2,0,0,0,0
Cameron John,21,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0
Carl Jenkinson,29,Premier League,2018/2019,Defender,Arsenal,166,166,0,England,3,3,0,0,0,0,0,0,0
Carlos Sánchez,35,Premier League,2018/2019,Midfielder,West Ham United,240,120,120,Colombia,7,4,3,0,0,0,0,0,0
Cedric Soares,29,Premier League,2018/2019,Defender,Southampton,1494,651,843,Portugal,18,8,10,1,1,0,2,0,2
Cenk Tosun,29,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,13,12,3,2,1,3,1,2
Cesar Azpilicueta,31,Premier League,2018/2019,Defender,Chelsea,3403,1693,1710,Spain,38,19,19,1,0,1,5,3,2
Cesc Fabregas,33,Premier League,2018/2019,Midfielder,Chelsea,175,73,102,Spain,6,4,2,0,0,0,0,0,0
Charlie Austin,31,Premier League,2018/2019,Forward,Southampton,980,454,526,England,25,13,12,2,1,1,2,1,1
Charlie Daniels,34,Premier League,2018/2019,Defender,AFC Bournemouth,1583,803,780,England,21,11,10,1,1,0,0,0,0
Charlie Taylor,27,Premier League,2018/2019,Defender,Burnley,3240,1636,1604,England,38,19,19,0,0,0,1,1,0
Cheikhou Kouyaté,31,Premier League,2018/2019,Midfielder,Crystal Palace,1897,865,1032,Senegal,31,14,17,0,0,0,2,1,1
Chris Löwe,31,Premier League,2018/2019,Defender,Huddersfield Town,2056,932,1124,Germany,29,15,14,0,0,0,2,1,1
Chris Mepham,23,Premier League,2018/2019,Defender,AFC Bournemouth,849,436,413,Wales,13,6,7,0,0,0,1,0,1
Chris Smalling,31,Premier League,2018/2019,Defender,Manchester United,2128,1138,990,England,24,13,11,1,0,1,0,0,0
Chris Wood,29,Premier League,2018/2019,Forward,Burnley,2582,1330,1252,New Zealand,38,19,19,10,4,6,2,0,2
Christian Atsu Twasam,29,Premier League,2018/2019,Midfielder,Newcastle United,1487,710,777,Ghana,28,13,15,1,1,0,0,0,0
Christian Benteke,30,Premier League,2018/2019,Forward,Crystal Palace,813,526,287,Belgium,16,10,6,1,0,1,1,0,1
Christian Eriksen,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2772,1457,1315,Denmark,35,18,17,8,6,2,12,8,4
Christian Fuchs,34,Premier League,2018/2019,Defender,Leicester City,206,90,116,Austria,3,1,2,0,0,0,0,0,0
Christian Kabasele,30,Premier League,2018/2019,Defender,Watford,1587,957,630,Belgium,21,14,7,0,0,0,0,0,0
Christopher Schindler,30,Premier League,2018/2019,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0
Ciaran Clark,31,Premier League,2018/2019,Defender,Newcastle United,857,416,441,Republic of Ireland,11,6,5,3,1,2,0,0,0
Claudio Andrés Bravo Muñoz,37,Premier League,2018/2019,Goalkeeper,Manchester City,0,0,0,Chile,0,0,0,0,0,0,0,0,0
Collin Quaner,29,Premier League,2018/2019,Forward,Huddersfield Town,37,9,28,Germany,2,1,1,0,0,0,0,0,0
Connor Wickham,28,Premier League,2018/2019,Forward,Crystal Palace,61,49,12,England,6,3,3,0,0,0,1,0,1
Conor Coady,28,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,1710,1710,England,38,19,19,0,0,0,0,0,0
Conor Coventry,21,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0
Craig Cathcart,32,Premier League,2018/2019,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,18,3,1,2,0,0,0
Curtis Jones,20,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0
Cyrus Christie,28,Premier League,2018/2019,Defender,Fulham,1943,1053,890,Republic of Ireland,28,15,13,0,0,0,1,1,0
Dale Stephens,31,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,16,1,0,1,1,0,1
Damián Emiliano Martínez,28,Premier League,2018/2019,Goalkeeper,Arsenal,0,0,0,Argentina,0,0,0,0,0,0,0,0,0
Dan Burn,28,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0
Dan Gosling,31,Premier League,2018/2019,Midfielder,AFC Bournemouth,1737,911,826,England,25,13,12,2,0,2,1,0,1
Daniel Amartey,26,Premier League,2018/2019,Midfielder,Leicester City,640,307,333,Ghana,9,5,4,0,0,0,0,0,0
Daniel Sturridge,31,Premier League,2018/2019,Forward,Liverpool,496,152,344,England,18,9,9,2,1,1,1,1,0
Daniel William John Ings,28,Premier League,2018/2019,Forward,Southampton,1668,922,746,England,24,13,11,7,3,4,3,3,0
Daniel Williams,32,Premier League,2018/2019,Midfielder,Huddersfield Town,93,13,80,USA,5,1,4,0,0,0,0,0,0
Danilo,29,Premier League,2018/2019,Defender,Manchester City,806,450,356,Brazil,11,5,6,1,0,1,0,0,0
Danny Drinkwater,31,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0
Danny Rose,30,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,969,837,England,26,13,13,0,0,0,3,1,2
Danny Simpson,34,Premier League,2018/2019,Defender,Leicester City,291,26,265,England,6,2,4,0,0,0,0,0,0
Danny Ward,27,Premier League,2018/2019,Goalkeeper,Leicester City,0,0,0,Wales,0,0,0,0,0,0,0,0,0
Danny Ward,30,Premier League,2018/2019,Forward,Cardiff City,440,246,194,England,14,6,8,1,1,0,0,0,0
Danny Welbeck,30,Premier League,2018/2019,Forward,Arsenal,147,47,100,England,8,4,4,1,1,0,1,0,1
Daryl Janmaat,31,Premier League,2018/2019,Defender,Watford,1521,836,685,Netherlands,18,10,8,0,0,0,2,2,0
David Brooks,23,Premier League,2018/2019,Forward,AFC Bournemouth,2278,1289,989,England,30,17,13,7,4,3,5,3,2
David Button,32,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,180,180,England,4,2,2,0,0,0,0,0,0
David de Gea,30,Premier League,2018/2019,Goalkeeper,Manchester United,3420,1710,1710,Spain,38,19,19,0,0,0,0,0,0
David Junior Hoilett,30,Premier League,2018/2019,Forward,Cardiff City,2142,1008,1134,Canada,32,17,15,3,2,1,1,0,1
David Luiz,33,Premier League,2018/2019,Defender,Chelsea,3239,1709,1530,Brazil,36,19,17,3,3,0,2,1,1
David Silva,35,Premier League,2018/2019,Midfielder,Manchester City,2411,1088,1323,Spain,33,16,17,6,4,2,8,3,5
Davide Zappacosta,28,Premier League,2018/2019,Defender,Chelsea,125,35,90,Italy,4,3,1,0,0,0,0,0,0
Davinson Sánchez Mina,24,Premier League,2018/2019,Defender,Tottenham Hotspur,1943,873,1070,Colombia,23,10,13,1,1,0,1,0,1
Davy Pröpper,29,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,1371,1180,Netherlands,30,16,14,1,0,1,1,0,1
DeAndre Yedlin,27,Premier League,2018/2019,Defender,Newcastle United,2475,1313,1162,USA,29,16,13,1,0,1,2,1,1
Declan Rice,22,Premier League,2018/2019,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0
Dejan Lovren,31,Premier League,2018/2019,Defender,Liverpool,985,540,445,Croatia,13,7,6,1,1,0,0,0,0
Dele Alli,24,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1827,755,1072,England,25,11,14,5,1,4,3,2,1
Demarai Gray,24,Premier League,2018/2019,Midfielder,Leicester City,1992,1069,923,England,34,17,17,4,1,3,1,1,0
Demeaco Duhaney,22,Premier League,2018/2019,Defender,Huddersfield Town,46,46,0,England,1,1,0,0,0,0,0,0,0
Denis Odoi,32,Premier League,2018/2019,Defender,Fulham,2593,1153,1440,Belgium,31,15,16,0,0,0,1,0,1
Denis Suárez,27,Premier League,2018/2019,Midfielder,Arsenal,67,29,38,Spain,4,2,2,0,0,0,0,0,0
Diego Rico,28,Premier League,2018/2019,Defender,AFC Bournemouth,607,148,459,Spain,12,4,8,0,0,0,0,0,0
Diogo José Teixeira da Silva,24,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,1210,1161,Portugal,33,16,17,9,7,2,5,3,2
Divock Origi,25,Premier League,2018/2019,Forward,Liverpool,366,176,190,Belgium,12,5,7,3,2,1,1,0,1
Domingos Quina,21,Premier League,2018/2019,Midfielder,Watford,335,217,118,Portugal,8,5,3,1,1,0,0,0,0
Dominic Calvert-Lewin,24,Premier League,2018/2019,Forward,Everton,1774,1023,751,England,35,18,17,6,3,3,2,2,0
Dominic Solanke,23,Premier League,2018/2019,Forward,AFC Bournemouth,341,165,176,England,10,4,6,0,0,0,1,1,0
Dwight McNeil,21,Premier League,2018/2019,Forward,Burnley,1599,941,658,England,21,12,9,3,3,0,5,3,2
Eden Hazard,30,Premier League,2018/2019,Midfielder,Chelsea,2926,1527,1399,Belgium,37,19,18,16,11,5,15,10,5
Ederson,27,Premier League,2018/2019,Goalkeeper,Manchester City,3420,1710,1710,Brazil,38,19,19,0,0,0,1,1,0
Edward Nketiah,21,Premier League,2018/2019,Forward,Arsenal,62,4,58,England,5,1,4,1,0,1,0,0,0
Elias Kachunga,28,Premier League,2018/2019,Forward,Huddersfield Town,1181,611,570,Congo DR,20,9,11,0,0,0,0,0,0
Emerson Hyndman,25,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,0,37,USA,1,0,1,0,0,0,0,0,0
Emerson Palmieri dos Santos,26,Premier League,2018/2019,Defender,Chelsea,660,360,300,Italy,10,4,6,0,0,0,0,0,0
Emile Smith Rowe,20,Premier League,2018/2019,Midfielder,Arsenal,0,0,0,England,0,0,0,0,0,0,0,0,0
Eric Bertrand Bailly,26,Premier League,2018/2019,Defender,Manchester United,637,349,288,Côte d'Ivoire,12,5,7,0,0,0,0,0,0
Eric Dier,27,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1510,674,836,England,20,9,11,3,2,1,0,0,0
Erik Durm,28,Premier League,2018/2019,Defender,Huddersfield Town,2052,869,1183,Germany,28,13,15,0,0,0,1,0,1
Erik Lamela,29,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,493,478,Argentina,19,11,8,4,1,3,2,1,1
Ethan Ampadu,20,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,Wales,0,0,0,0,0,0,0,0,0
Etienne Capoue,32,Premier League,2018/2019,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1
Fabián Cornelio Balbuena González,29,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0
Fabian Delph,31,Premier League,2018/2019,Midfielder,Manchester City,725,266,459,England,11,5,6,0,0,0,1,1,0
Fabian Schär,29,Premier League,2018/2019,Defender,Newcastle United,2002,1173,829,Switzerland,24,14,10,4,3,1,1,0,1
Fabinho,27,Premier League,2018/2019,Midfielder,Liverpool,2013,1051,962,Brazil,28,14,14,1,1,0,2,1,1
Fabricio Martín Agosto Ramírez,33,Premier League,2018/2019,Goalkeeper,Fulham,180,90,90,Spain,2,1,1,0,0,0,0,0,0
Faustino Marcos Alberto Rojo,31,Premier League,2018/2019,Defender,Manchester United,211,211,0,Argentina,5,5,0,0,0,0,0,0,0
Federico Fernández,32,Premier League,2018/2019,Defender,Newcastle United,1484,607,877,Argentina,19,8,11,0,0,0,1,1,0
Felipe Anderson Pereira Gomes,27,Premier League,2018/2019,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2
Fernando Llorente Torres,36,Premier League,2018/2019,Forward,Tottenham Hotspur,683,508,175,Spain,20,11,9,1,1,0,4,4,0
Fernando Luiz Rosa,35,Premier League,2018/2019,Midfielder,Manchester City,2381,1286,1095,Brazil,29,15,14,1,1,0,3,3,0
Florent Hadergjonaj,26,Premier League,2018/2019,Defender,Huddersfield Town,1840,1011,829,Switzerland,24,12,12,0,0,0,0,0,0
Florian Lejeune,29,Premier League,2018/2019,Defender,Newcastle United,1055,515,540,France,12,6,6,0,0,0,0,0,0
Florin Andone,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,874,416,458,Romania,23,12,11,3,2,1,0,0,0
Floyd Ayité,32,Premier League,2018/2019,Midfielder,Fulham,465,296,169,Togo,16,7,9,1,0,1,0,0,0
Fousseni Diabaté,25,Premier League,2018/2019,Midfielder,Leicester City,55,0,55,Mali,1,0,1,0,0,0,0,0,0
Francisco Femenía Far,30,Premier League,2018/2019,Midfielder,Watford,2045,1011,1034,Spain,29,14,15,1,1,0,1,1,0
Fraser Forster,33,Premier League,2018/2019,Goalkeeper,Southampton,90,0,90,England,1,0,1,0,0,0,0,0,0
Freddie Woodman,24,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0
Frederico Rodrigues Santos,28,Premier League,2018/2019,Midfielder,Manchester United,1045,577,468,Brazil,17,9,8,1,1,0,1,0,1
Gabriel Jesus,24,Premier League,2018/2019,Forward,Manchester City,1019,702,317,Brazil,29,14,15,7,5,2,3,1,2
Gaëtan Bong Songo,32,Premier League,2018/2019,Defender,Brighton & Hove Albion,1805,720,1085,Cameroon,22,8,14,0,0,0,0,0,0
Gary Cahill,35,Premier League,2018/2019,Defender,Chelsea,22,1,21,England,2,1,1,0,0,0,0,0,0
Gary Madine,30,Premier League,2018/2019,Forward,Cardiff City,32,17,15,England,5,3,2,0,0,0,0,0,0
George Marsh,22,Premier League,2018/2019,Midfielder,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0
Georges-Kevin N'Koudou Mbida,26,Premier League,2018/2019,Forward,Tottenham Hotspur,4,0,4,France,1,0,1,0,0,0,1,0,1
Georginio Wijnaldum,30,Premier League,2018/2019,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,18,17,3,1,2,0,0,0
Gerard Deulofeu,27,Premier League,2018/2019,Forward,Watford,2082,949,1133,Spain,30,14,16,10,3,7,5,3,2
Glenn Murray,37,Premier League,2018/2019,Forward,Brighton & Hove Albion,2513,1383,1130,England,38,19,19,13,8,5,1,1,0
Gonzalo Higuain,33,Premier League,2018/2019,Forward,Chelsea,1092,496,596,Argentina,14,6,8,5,4,1,0,0,0
Grady Diangana,22,Premier League,2018/2019,Midfielder,West Ham United,604,326,278,England,17,9,8,0,0,0,1,1,0
Granit Xhaka,28,Premier League,2018/2019,Midfielder,Arsenal,2502,1317,1185,Switzerland,29,15,14,4,2,2,2,0,2
Greg Cunningham,30,Premier League,2018/2019,Defender,Cardiff City,630,450,180,Republic of Ireland,7,5,2,0,0,0,0,0,0
Gylfi Sigurdsson,31,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,19,19,13,7,6,6,2,4
Hamza Choudhury,23,Premier League,2018/2019,Midfielder,Leicester City,596,308,288,England,9,4,5,0,0,0,0,0,0
Harry Arter,31,Premier League,2018/2019,Midfielder,Cardiff City,2008,1186,822,Republic of Ireland,25,14,11,0,0,0,1,1,0
Harry Kane,27,Premier League,2018/2019,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,16,17,6,11,4,2,2
Harry Maguire,28,Premier League,2018/2019,Defender,Leicester City,2599,1350,1249,England,31,15,16,3,0,3,0,0,0
